date,id,name,diameter_m,velocity_km_s,distance_km,is_hazardous,magnitude,days_from_today,approach_hour
2025-10-06,54318589,(2022 UN5),55.980913209,21.6495987978,63484736.40213026,0,25.13,2,10
2025-10-06,54416724,(2023 XX12),66.3804173771,7.4945176444,46153734.451093346,0,24.76,2,19
2025-10-06,54486545,(2024 TK),143.2319744727,22.301180174,37118375.61551422,0,23.09,2,9
2025-10-06,54488497,(2024 TL5),18.0318372445,5.3974063811,9234102.717509829,0,27.59,2,23
2025-10-06,54496027,(2024 UJ5),44.2629116503,11.3649819643,27012890.13850081,0,25.64,2,6
2025-10-06,54547366,(2025 SU6),79.4401359603,9.072328971,14399495.50944585,0,24.37,2,12
2025-10-06,54549119,(2025 SC24),47.6036198939,13.3335937488,4528950.106355579,0,25.482,2,15
2025-10-06,54549120,(2025 SH25),26.3051013113,12.7752940199,3543868.118681011,0,26.77,2,19
2025-10-06,54549688,(2025 SL29),99.5497053148,5.5933307016,16053981.201076254,0,23.88,2,17
2025-10-06,54550524,(2025 TC1),25.8606822876,5.6947540873,4237528.803101822,0,26.807,2,10
2025-10-09,3163746,(2003 UC5),505.8712275983,23.986036034,57588819.81151674,0,20.35,5,6
2025-10-09,3388887,(2007 US),168.2828965971,14.0431032706,61796378.05766446,0,22.74,5,22
2025-10-09,3612164,(2012 TA259),503.5469604336,36.4366286631,70170345.77088325,0,20.36,5,15
2025-10-09,3789121,(2017 VW1),457.1302685904,17.5036173252,29656442.790907055,0,20.57,5,20
2025-10-09,3831876,(2018 UC),39.2681081809,24.7638154344,73660759.01018396,0,25.9,5,16
2025-10-09,54051399,(2020 QU5),43.4550224647,13.6340013055,2713951.15110041,0,25.68,5,0
2025-10-09,54101717,(2020 YB3),26.4265201422,14.1555974019,64000008.164002985,0,26.76,5,21
2025-10-09,54190785,(2021 QE2),75.1692087496,9.7442348048,16077901.661132663,0,24.49,5,5
2025-10-09,54489167,(2024 TT5),70.151987353,14.2780978485,28416562.270297475,0,24.64,5,9
2025-10-09,54535145,(2025 MJ2),292.4421571708,12.7509438424,10978714.483669806,0,21.54,5,11
2025-10-09,54548209,(2025 ST14),49.8930414151,5.7413778592,15710501.918472892,0,25.38,5,14
2025-10-09,54548507,(2025 SP15),59.7365282462,8.0080535942,6271891.417819776,0,24.989,5,12
2025-10-09,54548711,(2025 SA21),30.1606001286,7.7544271253,3550613.022885914,0,26.473,5,6
2025-10-09,54549118,(2025 SP23),47.9115232701,14.7552216771,494631.758708617,0,25.468,5,1
2025-10-08,2162080,162080 (1998 DG16),608.1909854376,17.0825053715,61525294.06124466,0,19.95,4,12
2025-10-08,3785769,(2017 TJ4),54.2050786336,18.3052886428,47262643.87657173,0,25.2,4,4
2025-10-08,54017652,(2020 MK3),41.1187571041,13.0947676574,62188993.269302085,0,25.8,4,0
2025-10-08,54055119,(2020 TQ3),29.7879062798,18.420602078,60209055.27223714,0,26.5,4,9
2025-10-08,54278307,(2022 JA1),50.1233372306,9.7409613216,50158125.40077171,0,25.37,4,20
2025-10-08,54296538,(2022 QP1),123.038202784,3.1339293811,65888566.62094542,0,23.42,4,9
2025-10-08,54314205,(2022 TU1),16.4452310205,12.9051311585,6459032.294476041,0,27.79,4,8
2025-10-08,54545163,(2025 RN3),62.551824088,4.3731734324,25165467.281062692,0,24.889,4,4
2025-10-08,54547373,(2025 SJ7),108.1533506775,8.100480555,15080573.502061173,0,23.7,4,6
2025-10-08,54547374,(2025 SK7),145.0908345628,23.0576131902,9336916.29211261,0,23.062,4,1
2025-10-08,54549122,(2025 SW25),39.9613341144,6.1990238587,9653241.646458237,0,25.862,4,14
2025-10-08,54549687,(2025 SJ29),28.816416908,10.4411958802,3220725.215404808,0,26.572,4,1
2025-10-08,54550499,(2025 SD38),29.8840860846,6.0026226154,11430922.934328722,0,26.493,4,1
2025-10-08,54550568,(2025 TF1),34.7088303588,17.458675662,3233024.79324132,0,26.168,4,17
