id,name,type,diameter_m,velocity_km_s,distance_km,is_hazardous,period_years,eccentricity,inclination_deg,perihelion_au,aphelion_au,moid_au,orbital_energy,period_category,eccentricity_category,inclination_category,is_famous_comet
comet-73P_Schwassmann_Wachmann_3_BF,73P/Schwassmann-Wachmann 3-BF,comet,1034,0,140558314,0,5.17,0.6856738995,11.32197626,0.9395742939,5.04,0.040397,-0.16723598551491192,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BG,73P/Schwassmann-Wachmann 3-BG,comet,1028,0,140523538,0,5.14,0.6847548055,11.32450054,0.9393418344,5.02,0.040107,-0.1678037655479923,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BH,73P/Schwassmann-Wachmann 3-BH,comet,1018,0,140594509,0,5.09,0.6824392137,11.28940623,0.9398162468,4.98,0.040047,-0.16892416222219014,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BI,73P/Schwassmann-Wachmann 3-BI,comet,1018,0,140586858,0,5.09,0.6824626795,11.30045753,0.9397650974,4.98,0.040062,-0.1689256218019878,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BJ,73P/Schwassmann-Wachmann 3-BJ,comet,1060,0,140510237,0,5.3,0.6910944882,11.37022892,0.9392529208,5.14,0.040461,-0.16449389637639963,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BK,73P/Schwassmann-Wachmann 3-BK,comet,1062,0,140512289,0,5.31,0.6915428054,11.37077721,0.9392666357,5.15,0.040494,-0.16422338843518938,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BL,73P/Schwassmann-Wachmann 3-BL,comet,1088,0,140487310,0,5.44,0.6962237189,11.4093615,0.9390996615,5.24,0.040742,-0.16183587493023963,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BM,73P/Schwassmann-Wachmann 3-BM,comet,1018,0,140585626,0,5.09,0.6824392137,11.29433257,0.9397568629,4.98,0.040041,-0.16892585678090077,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BN,73P/Schwassmann-Wachmann 3-BN,comet,1064,0,140500188,0,5.32,0.6917715065,11.37744926,0.9391857446,5.15,0.040649,-0.16422557004223728,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BO,73P/Schwassmann-Wachmann 3-BO,comet,1064,0,140505173,0,5.32,0.6918275631,11.37615727,0.9392190689,5.16,0.040677,-0.1639554160464597,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BP,73P/Schwassmann-Wachmann 3-BP,comet,1018,0,140589576,0,5.09,0.6824534537,11.29077484,0.9397832677,4.98,0.040186,-0.16892510329833876,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BQ,73P/Schwassmann-Wachmann 3-BQ,comet,1068,0,140495688,0,5.34,0.6924538802,11.38826125,0.9391556635,5.17,0.040612,-0.16368874114219073,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BR,73P/Schwassmann-Wachmann 3-BR,comet,1032,0,140562427,0,5.16,0.6851541342,11.31924783,0.9396017862,5.03,0.040313,-0.16751536129456943,short,medium,medium,0
comet-73P_Schwassmann_Wachmann_3_BS,73P/Schwassmann-Wachmann 3-BS,comet,1100,0,140464722,0,5.5,0.6985735462,11.44446449,0.9389486718,5.29,0.040824,-0.16054073531336818,short,medium,medium,0
comet-79P_du_Toit_Hartley,79P/du Toit-Hartley,comet,1012,0,168118883,0,5.06,0.61851349,3.145618792,1.123805321,4.77,0.134779,-0.16966966934536115,short,medium,low,0
comet-85P_Boethin,85P/Boethin,comet,2362,0,169742339,0,11.81,0.7811606262,4.295294591,1.134657452,9.24,0.149899,-0.09638872460383957,short,high,low,0
comet-96P_Machholz_1,96P/Machholz 1,comet,1056,0.1,18512565,0,5.28,0.9592118287,58.31221424,0.1237488531,5.94,0.333731,-0.16491448182072466,short,high,high,0
