id,name,diameter_m,velocity_km_s,distance_km,magnitude,is_hazardous,is_sentry_object,approach_date,kinetic_energy_mt,threat_level,distance_earth_radii,velocity_escape,size_category,is_today_approach,is_this_week
2003199,3199 Nefertiti (1982 RA),4321,13.4221932631,7046928.930383422,14.99,0,0,1916-03-16,2728336.7953244965,4,1106.0946366949336,1.1984101127767859,huge,0,0
2003200,3200 Phaethon (1983 TB),5696,33.877789151,22346296.40825863,14.39,1,0,1924-10-21,39814225.22145152,4,3507.50218305739,3.0248026027678576,huge,0,0
2003271,3271 Ul (1982 RB),2087,13.670272508,11184173.439990127,16.57,0,0,1949-02-26,318874.577924471,4,1755.4816261167991,1.220560045357143,huge,0,0
2003288,3288 Seleucus (1982 DV),3677,6.5008847543,20895360.908845857,15.34,0,0,1982-04-12,394388.30604196235,4,3279.7615615830887,0.5804361387767858,huge,0,0
2003352,3352 McAuliffe (1981 CW),2802,20,100000,15.93,0,0,,1651819.5036489936,4,15.69612305760477,1.7857142857142858,huge,0,0
2003360,3360 Syrinx (1981 VA),2664,22.563779094,13338427.048959646,16.04,0,0,1950-12-01,1806860.1737421777,4,2093.615923553547,2.0146231333928575,huge,0,0
2003361,3361 Orpheus (1982 HR),527,12.9576032177,22268336.09627086,19.56,1,0,1929-11-12,4612.956988125066,4,3495.2654365516964,1.1569288587232143,large,0,0
2003362,3362 Khufu (1984 QA),850,30.0103355297,72881438.22636625,18.52,1,0,1912-09-09,103823.74371775267,4,11439.560230162651,2.6794942437232145,large,0,0
2003551,3551 Verenia (1983 RD),1948,8.0029025934,12754488.578215236,16.72,0,0,1983-09-16,88871.01187759497,4,2001.9602226048087,0.7145448744107143,huge,0,0
2003552,3552 Don Quixote (1983 SA),10606,11.8518831198,90060440.67815797,13.04,0,0,1920-12-29,31457759.924448073,4,14135.99759506482,1.058203849982143,huge,0,0
2003553,3553 Mera (1985 JA),2257,20,100000,16.4,0,0,,863282.3744769946,4,15.69612305760477,1.7857142857142858,huge,0,0
