id,name,object_type,diameter_m,velocity_km_s,distance_km,is_hazardous,kinetic_energy_mt,threat_level,size_category,period_years,eccentricity,inclination_deg,moid_au,is_asteroid,is_comet
comet-P_2008_Y1__Boattini_,P/2008 Y1 (Boattini),comet,2102,0,190285431,0,0,1,huge,10.51,0.7348817591,8.805148715,0.289617,0,1
comet-P_2008_Y12__SOHO_,P/2008 Y12 (SOHO),comet,1080,0.2,9785748,0,9.458656703725872,2,huge,5.4,0.9787495375,23.34562318,0.044832,0,1
comet-P_2009_L2__Yang_Gao_,P/2009 L2 (Yang-Gao),comet,1264,0,193897653,0,0,1,huge,6.32,0.6209298159,16.15851413,0.287493,0,1
comet-P_2009_WX51__Catalina_,P/2009 WX51 (Catalina),comet,1082,0,119671646,0,0,1,huge,5.41,0.7402970341,9.592585691,0.009227,0,1
comet-C_2010_L5__WISE_,C/2010 L5 (WISE),comet,4712,0,118317081,0,0,1,huge,23.56,0.9037561917,147.051681,0.113609,0,1
comet-P_2011_NO1__Elenin_,P/2011 NO1 (Elenin),comet,2624,0,185939017,0,0,1,huge,13.12,0.776521252,15.27233838,0.380652,0,1
comet-C_2011_S2__Kowalski_,C/2011 S2 (Kowalski),comet,10000,0,166819300,0,0,1,huge,65.83,0.9316035445,17.57253024,0.13779,0,1
comet-P_2012_NJ__La_Sagra_,P/2012 NJ (La Sagra),comet,4958,0,193264004,0,0,1,huge,24.79,0.8480618337,84.37545937,0.315258,0,1
comet-P_2013_CU129__PANSTARRS_,P/2013 CU129 (PANSTARRS),comet,978,0,119700391,0,0,1,large,4.89,0.7221050362,12.14763226,0.085523,0,1
comet-P_2013_TL117__Lemmon_,P/2013 TL117 (Lemmon),comet,1368,0,167201363,0,0,1,huge,6.84,0.6899137951,9.365636389,0.20162,0,1
comet-P_2014_U2__Kowalski_,P/2014 U2 (Kowalski),comet,1004,0,174176543,0,0,1,huge,5.02,0.6029487638,7.495593453,0.183671,0,1
comet-P_2015_A3__PANSTARRS_,P/2015 A3 (PANSTARRS),comet,4190,0,172614582,0,0,1,huge,20.95,0.8481676984,172.5137446,0.204591,0,1
comet-C_2015_D1__SOHO_,C/2015 D1 (SOHO),comet,2196,0.2,4236770,1,79.51612434327416,3,huge,10.98,0.9942677736,69.61628937,0.515916,0,1
comet-C_2015_F2__Polonia_,C/2015 F2 (Polonia),comet,10000,0,180945240,0,0,1,huge,182.45,0.9623991817,28.66103039,0.198704,0,1
comet-C_2015_F5__SWAN_Xingming_,C/2015 F5 (SWAN-Xingming),comet,10000,0.1,51761631,0,1877.1466620397903,4,huge,61.26,0.9777341146,149.2569445,0.441413,0,1
