asteroid_id,diameter_m,velocity_km_s,distance_km,kinetic_energy_mt,is_hazardous,absolute_magnitude,approach_parameter,gravity_influence,orbit_uncertainty,moid,inclination,eccentricity
54314205,11.90,12.905,6459032.29,0.052681,0,27.79,1013.817657,0.00098637,9,1.000000,0.0000,0.000000
54545163,45.26,4.373,25165467.28,0.332904,0,24.89,3950.002712,0.00025316,9,1.000000,0.0000,0.000000
54547373,78.26,8.100,15080573.50,5.904017,0,23.70,2367.065375,0.00042246,9,1.000000,0.0000,0.000000
54547374,104.99,23.058,9336916.29,115.492759,0,23.06,1465.533871,0.00068235,9,1.000000,0.0000,0.000000
54549122,28.92,6.199,9653241.65,0.174411,0,25.86,1515.184688,0.00065999,9,1.000000,0.0000,0.000000
54549687,20.85,10.441,3220725.22,0.185535,0,26.57,505.528993,0.00197813,9,1.000000,0.0000,0.000000
54550499,21.62,6.003,11430922.93,0.068392,0,26.49,1794.211730,0.00055735,9,1.000000,0.0000,0.000000
54550568,25.12,17.459,3233024.79,0.906460,0,26.17,507.459550,0.00197060,9,1.000000,0.0000,0.000000
3427459,157.60,14.528,17860588.57,155.070549,0,22.18,2803.419961,0.00035671,9,1.000000,0.0000,0.000000
3716631,129.88,7.708,12307670.35,24.437564,0,22.60,1931.827083,0.00051764,9,1.000000,0.0000,0.000000
3720000,41.07,11.569,39827549.39,1.740736,0,25.10,6251.381163,0.00015996,9,1.000000,0.0000,0.000000
54201807,17.12,5.929,7782741.82,0.033124,0,27.00,1221.588734,0.00081861,9,1.000000,0.0000,0.000000
54212590,23.31,22.126,66740907.73,1.163959,0,26.33,10475.735006,0.00009546,9,1.000000,0.0000,0.000000
54265626,6.10,7.682,71679427.63,0.002518,0,29.24,11250.891168,0.00008888,9,1.000000,0.0000,0.000000
54300842,174.40,11.954,16201986.27,142.287909,0,21.96,2543.083703,0.00039322,9,1.000000,0.0000,0.000000
54309253,32.62,2.376,21283967.78,0.036813,0,25.60,3340.757774,0.00029933,9,1.000000,0.0000,0.000000
