id,name,diameter_meters,diameter_km,is_hazardous,is_sentry_object,absolute_magnitude_h,latest_approach_date,latest_velocity_km_s,latest_distance_km,total_approaches,nasa_jpl_url,orbit_id,orbit_uncertainty,minimum_orbit_intersection,eccentricity,semi_major_axis,inclination,orbital_period,perihelion_distance,aphelion_distance,mean_anomaly,mean_motion,orbit_class_type,orbit_class_description,orbit_class_range,estimated_mass_kg,kinetic_energy_mt,potential_crater_km,threat_category
3789621,(2017 WK13),519.45,0.5194,false,false,19.59,2025-10-11,29.0746405568,21975871.76674789,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3789621,,,,,,,,,,,,,,,220164720165,22241.0233,13.86,GLOBAL
3879228,(2019 UL),6.51,0.0065,false,true,29.1,2025-10-11,18.893095028,68455871.54281986,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3879228,,,,,,,,,,,,,,,433259,0.0185,0.42,MINIMAL
3989280,(2020 BQ12),54.14,0.0541,false,false,24.5,2025-10-11,7.9851344003,21662180.3222602,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3989280,,,,,,,,,,,,,,,249314609,1.8997,1.33,LOCAL
54051126,(2020 PH5),144.39,0.1444,false,false,22.37,2025-10-11,13.191491371,39032939.35834895,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54051126,,,,,,,,,,,,,,,4728764953,98.3363,3.57,REGIONAL
54235680,(2022 AL3),174.40,0.1744,false,false,21.96,2025-10-11,11.1068398598,65729568.60422631,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54235680,,,,,,,,,,,,,,,8331970576,122.8307,3.78,CONTINENTAL
54301288,(2022 RJ1),21.46,0.0215,false,false,26.51,2025-10-11,11.9272405397,51288535.83995499,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54301288,,,,,,,,,,,,,,,15514855,0.2638,0.81,MINIMAL
54307442,(2022 SM10),57.75,0.0577,false,false,24.36,2025-10-11,6.5264851599,15596761.476088718,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54307442,,,,,,,,,,,,,,,302515567,1.5399,1.26,LOCAL
54373188,(2023 LL1),9.76,0.0098,false,false,28.22,2025-10-11,16.6014176526,37454813.26653753,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54373188,,,,,,,,,,,,,,,1461328,0.0481,0.53,MINIMAL
54397142,(2023 UZ2),18.09,0.0181,false,false,26.88,2025-10-11,9.9891416916,32481147.124364756,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54397142,,,,,,,,,,,,,,,9305672,0.1110,0.65,MINIMAL
54404088,(2023 VT5),95.84,0.0958,false,false,23.26,2025-10-11,10.1226957178,24106503.213813778,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54404088,,,,,,,,,,,,,,,1382762928,16.9324,2.30,REGIONAL
